,pa,sigma
21096804,24.339558440066018,0.4485958062224067
21096996,41.622790442057685,0.9256612863326314
21096927,23.340093640311228,1.485761227953868
21096843,22.856530563666038,0.8611304408446708
21096948,3.7793190186625885,0.8636168738928658
21097012,25.504373642860834,0.9509879185425443
21096944,,
21096974,33.48316490537083,0.997569846136738
21096986,27.328721263518652,0.6822374733157163
21096990,13.563251153479673,0.6131471730957601
21096838,36.755573827684046,1.0534933837317069
21096833,18.863553411517692,1.1305710745206188
21096930,21.962107753223037,0.8202986586445273
21096935,,
21096787,16.772772687528853,0.8616243640183731
21096955,19.39331628707588,1.04773627796733
21096976,28.233636202907974,0.5330875883251872
21096983,8.648857917822857,0.5788217603061521
21096950,9.993607025769492,1.099672549134039
21096847,,
21097005,,
21096994,,
21096846,6.261411092876606,0.7322898915144355
21096891,12.240467825953615,1.6125891434693438
21096808,13.960090207381072,0.8152567524538041
21096863,21.205266772860664,1.3403361414339143
21096888,21.25129540506637,0.7192993246017516
21096884,,
21096962,7.481191782215709,0.938820397335521
21096922,18.831529693998558,0.6116346149623819
21096790,12.63920451308723,0.8661320454007302
21096934,,
21096969,,
21096941,35.74825626506964,1.0096201835892789
21096952,17.38928657623651,3.2748636744801676
21097019,,
21096972,28.05368671996941,0.5810773948967519
21096900,,
21096987,,
21096860,25.681970845175087,1.5211859462603707
21096885,34.42757050219427,0.804889822323366
21096807,7.070467219117463,0.7349371743492091
21096940,20.02836200148247,1.2358162838208044
21096945,,
21096959,,
21096909,16.45545706913821,1.7565734027189948
21096782,9.706800503912397,1.8418772367405503
21096801,22.040777897081576,2.300465562857438
21096857,9.79024312219358,1.2312271378886726
21096915,,
21096814,12.951939236158863,1.419359705931108
21096979,,
21096784,7.289034158125036,1.0204458503686626
21096874,,
21096850,18.8872885499857,0.5876453862974148
21096998,27.93940103499005,0.34565783423859414
21096877,19.182419141072668,0.7229271132300172
21096821,14.395861072352847,0.7810556038715981
21096917,14.375666694083245,0.8987905380698616
21096982,52.68613800103528,0.5232898454023749
21096867,22.449308792452843,0.49047320746232154
21096912,11.406568247473212,0.5869599593429332
21097003,16.2441954443485,0.759559012994917
21096840,12.211350980482386,0.7398308316969271
21096881,26.75556501867859,1.0985965739479353
21096893,,
21096795,13.197701568716628,0.7428119742502571
21096854,22.150561632182615,0.8994081021714241
21096878,15.584200109912707,0.40187570812824336
21096791,,
21096964,9.916929983884168,0.6543477899887875
21096931,12.194250575388184,0.5870898281809109
21096957,,
21096902,18.17210045697052,0.7112531266836684
21096818,14.960274059533734,0.5188338217228577
21097014,19.153175632580584,0.732410452091045
21096831,35.6564037198935,0.47447478993480685
21096905,13.213459573407158,1.6646639994874268
21096898,,
21096907,,
21096825,21.235768964197778,1.0785142522625784
21096919,16.14316603688533,0.9811622858744331
21096864,20.76049928996663,0.8558306514614233
