component,bar,bar,bar,bar,bar,bar,bar,bar,bulge,bulge,bulge,bulge,bulge,bulge,bulge,bulge,disk,disk,disk,disk,disk,disk,disk,disk
parameter,I,Re,c,mux,muy,n,q,roll,I,Re,c,mux,muy,n,q,roll,I,Re,c,mux,muy,n,q,roll
20902040,0.06794304969327196,0.16498298344694293,0.31432467291003424,0.13182983993712458,0.14984714621230122,0.21517434791350012,0.06674672200694584,0.09325740744696503,0.18894941150355998,0.12153359943966896,0.0,0.11368086030374455,0.30780106585101563,0.6293038481793459,0.02492871008000644,0.9855800040492766,0.14098799508933646,0.9296866792340358,0.0,0.6119646758442178,0.41181246731570936,0.0,0.14991699829527871,2.140148231961276
20902052,,,,,,,,,0.10195439041337925,0.07659647170473197,0.0,0.22331628244783103,0.21750193866306075,0.37013511046643494,0.15002420700744584,0.7678921523765884,0.043454997002239794,0.7835255250483837,0.0,0.46857520987698326,0.3615229934424334,0.0,0.11340696630528026,1.8099860581694334
20902053,0.7758649797751884,0.2671758562216492,0.14135705918636737,0.13651884792582214,0.229382650863097,0.5983036626390255,0.07154139613572168,1.2714561755609326,1.3756510550198757,0.08105801179450654,0.0,0.1236096588262078,0.10601136606015957,1.3070705158228202,0.1003363275598486,1.7574687861645844,0.1770886756774636,0.21323549042549145,0.0,0.3867073117961864,0.13779831852368676,0.0,0.06771244651301643,1.5842141080073286
20902055,,,,,,,,,0.06384800548872992,0.0540632315167178,0.0,0.12616548552160198,0.2553627634329086,1.587794217205264,0.07198381337650583,2.5938110145358717,0.035957290529752335,1.2678332964944383,0.0,0.6480235547388736,0.4166274437551275,0.0,0.12087659711033955,1.5118542571908344
20902060,0.08359921161243362,0.16464198852869572,0.4292784644027697,0.1485772321700031,0.23576020937535758,0.6553472362038312,0.1442435061942938,0.05817470293493901,1.2723050723637899,0.05004569584042066,0.0,0.13474014861436226,0.16495400492867618,1.5549353071828453,0.11733811331542954,1.7056711081686113,0.21540305428657291,0.3684464481178485,0.0,0.2644652077922315,0.4755343921709047,0.0,0.12372714194451241,1.6101798503122258
20902061,,,,,,,,,2.0687268935832632,0.05269285740651073,0.0,0.0867647580682308,0.07079357551553495,0.7737092817276906,0.0789907938550578,1.4293085113567936,0.4323707686922354,0.1981663376968721,0.0,0.23404981781999884,0.16942386850492513,0.0,0.12262477681288955,1.4138747364560924
20902064,0.5582498859493827,0.15115395674138166,0.1854210138602214,0.24076954659786853,0.2663992799401597,0.5552691325148639,0.07401109231326941,0.07646471159693312,0.37702292631140677,0.042615896417844246,0.0,0.12490896981430617,0.22854731318799543,1.629033455764491,0.09065300842025545,0.6642560979043861,0.42044096771749884,0.36800511278046183,0.0,0.49739848647878526,0.3635932869136572,0.0,0.07846470283156172,1.077568990294342
20902065,1.750123802982954,0.32022464102779286,0.5389032071408247,0.14865438768402317,0.1300745752928527,0.5968500649241818,0.09237503489526709,0.06159556485330512,1.7075208936058066,0.1053943988596162,0.0,0.09491244492567494,0.09901509881224613,1.4611717615210973,0.09020911228970079,1.4121831957619322,0.8695772724476559,0.4342306390144393,0.0,0.20933106120082826,0.2486083026059582,0.0,0.1606985781622344,1.3461930002860771
20901992,,,,,,,,,0.3021508674258725,0.1325533384484033,0.0,0.1481972036085982,0.1476901542184761,1.028482825854143,0.12872453643524676,1.7068683636247057,0.04765060644328918,0.6549215455065533,0.0,0.6065900123555322,0.25541803329571555,0.0,0.05245566858912667,1.4621916162887356
20901996,0.01521401181474564,0.1847170841218899,0.5411561696959576,0.06159061852486126,0.16664186735238548,0.7117443361207731,0.057499241624855035,1.4014068643192918,0.08563083862190629,0.071232730192943,0.0,0.13343194908190495,0.2258521832578518,1.6785410331594517,0.08224453237981465,1.4849567162261814,0.05224549222901054,1.0860581236954352,0.0,0.38915162523374663,0.42410010983105867,0.0,0.13697589788598571,1.4881904149851455
