subject_id,m_tot,m_aper,BT,r_tot,ba_tot,BT_aper,xctr_bulge,xctr_bulge_err,yctr_bulge,yctr_bulge_err,m_bulge,m_bulge_err,r_bulge,r_bulge_err,n_bulge,n_bulge_err,ba_bulge,ba_bulge_err,pa_bulge,pa_bulge_err,xctr_disk,xctr_disk_err,yctr_disk,yctr_disk_err,m_disk,m_disk_err,r_disk,r_disk_err,n_disk,n_disk_err,ba_disk,ba_disk_err,pa_disk,pa_disk_err,GalSky,GalSky_err,chi2nu,finalflag,autoflag,pyflag,pyfitflag,ra,dec,dr7objid
20902067,15.5451,15.6715,0.244685,3.90171,0.924293,0.1558,174.47,0.04,174.99,0.05,17.0736,0.1474,11.7261,5.05189,8.0,1.4545,0.8139,0.0312,-76.8712,7.6446,173.93,0.01,174.0,0.02,15.8498,0.0082,4.07643,0.0183399,1.0,-999.0,0.6943,0.0023,20.9517,0.4048,21.1556,0.000156619,1.03479,3073,0,62,128,157.94,22.0772,587741828580507674
20902069,15.7458,15.7458,0.40819,4.54489,0.636727,0.40819,206.19,0.01,206.55,0.01,16.7187,0.0458,2.47353,0.126205,2.7723,0.0837,0.7765,0.0092,35.4561,1.4184,207.41,0.08,207.48,0.05,16.3154,0.0259,8.64771,0.110903,1.0,-999.0,0.4953,0.0096,-57.2839,0.3357,21.3413,0.000133309,1.03671,3073,0,62,0,235.581,17.8061,587739809959379307
20902071,15.1819,15.1819,0.353384,4.08933,0.582021,0.353384,202.8,0.01,202.18,0.01,16.3112,0.0222,1.38327,0.0401544,2.8861,0.0879,0.5546,0.005,72.7188,0.3643,202.73,0.06,201.85,0.04,15.6552,0.0106,8.41873,0.0504346,1.0,-999.0,0.5688,0.0026,-73.7323,0.3704,21.1946,0.000104368,1.01206,3073,0,62,0,156.466,39.5295,588016892786638917
20902080,16.3444,16.4697,0.222903,3.89261,0.712648,0.1371,124.99,0.09,170.1,0.1,17.9741,0.3754,13.4584,14.1363,8.0,3.4463,0.5728,0.0459,-45.3801,6.1398,125.34,0.03,170.41,0.04,16.6182,0.018,3.91848,0.0384739,1.0,-999.0,0.7618,0.0067,13.4448,1.4016,21.0083,0.00015498,1.06302,3073,0,62,128,244.505,13.5311,587742615637393794
20902085,15.6797,15.6849,0.490031,3.87042,0.523265,0.490031,77.42,0.07,209.11,0.04,16.4542,0.1314,4.28428,0.178042,1.2591,0.0319,0.4442,0.0064,40.1038,0.3169,74.36,0.32,206.87,0.23,16.4109,0.1265,6.62223,0.163996,1.0,-999.0,0.5359,0.0059,40.102,0.6593,20.7475,0.000178716,1.05125,5121,2048,62,0,136.363,44.1439,587731681193754794
20902086,15.6814,15.6946,0.458145,3.77805,0.438046,0.4617,202.54,0.01,203.3,0.02,16.5289,0.0371,3.8157,0.0990396,1.6854,0.0264,0.3023,0.0024,-19.5186,0.2572,200.38,0.07,201.18,0.07,16.3467,0.0295,8.24609,0.0957527,1.0,-999.0,0.4325,0.0029,-41.9541,0.7607,21.1967,0.000120064,1.0136,5121,2112,62,0,235.474,32.7631,588017605238915235
21096791,14.8229,14.9077,0.385422,5.05043,0.943836,0.4166,238.73,0.01,238.38,0.01,15.858,0.0117,2.71442,0.012474,0.7659,0.0048,0.9009,0.0025,-27.7486,1.3478,239.14,0.07,240.03,0.06,15.3514,0.0052,8.61522,0.0806688,1.0,-999.0,0.941,0.0038,-71.9275,3.2345,21.1902,0.000106869,1.10786,5121,2048,318,2,166.828,22.942,587741828047241286
21096795,15.1608,15.2163,0.145904,13.5066,0.702298,0.1518,522.17,0.05,521.81,0.05,17.2507,0.2712,6.04633,1.56325,2.2583,0.3068,0.5739,0.0134,-43.1738,1.4589,522.17,0.19,521.62,0.13,15.3321,0.0421,18.1056,0.227986,1.0,-999.0,0.7025,0.004,-67.2802,1.5753,20.8912,4.10564e-05,1.03409,3073,0,62,0,181.793,13.2475,588017704541880472
21096801,14.9158,15.2313,0.344471,10.8574,0.546027,0.4034,358.06,0.05,358.28,0.03,16.0729,0.0289,7.9533,0.15745,1.6847,0.0218,0.4247,0.004,-89.5336,0.2226,360.67,0.13,356.12,0.19,15.3743,0.0113,19.9905,0.213368,1.0,-999.0,0.4569,0.0067,31.1944,0.3533,20.9065,7.71174e-05,1.35074,5121,2176,318,2,181.853,-0.158318,588848899913482301
21096811,14.5168,14.5509,0.136796,9.84476,0.829716,0.1407,421.11,0.03,420.77,0.03,16.6766,0.1889,3.81257,0.581011,1.8219,0.1506,0.9133,0.0109,51.2007,5.4091,421.79,0.06,421.22,0.05,14.6765,0.0284,12.109,0.127515,1.0,-999.0,0.8252,0.0045,89.4991,0.6405,21.1751,5.20238e-05,1.07743,5121,2048,62,0,155.899,37.6378,588016890638696567
